 (TID 40) 638367793980930965 +    1.4826ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 40) 638367793980941044 +    1.0079ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 40) 638367793980941044 +         0ms: Handshake salt is 
 (TID 40) 638367793980951043 +    0.9999ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 40) 638367793981038082 +    8.7039ms: Could not connect to existing process, now creating a process...
 (TID 40) 638367793981053019 +    1.4937ms: Launching node from C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe
 (TID 40) 638367793981151035 +    9.8016ms: Successfully launched C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe node with PID 2512
 (TID 40) 638367793981255544 +   10.4509ms: Attempting connect to PID 2512 with pipe MSBuild2512 with timeout 30000 ms
 (TID 40) 638367793982453640 +  119.8096ms: Writing handshake part 0 (16777228) to pipe MSBuild2512
 (TID 40) 638367793982468723 +    1.5083ms: Writing handshake part 1 (-231540569) to pipe MSBuild2512
 (TID 40) 638367793982478923 +      1.02ms: Writing handshake part 2 (17) to pipe MSBuild2512
 (TID 40) 638367793982488851 +    0.9928ms: Writing handshake part 3 (7) to pipe MSBuild2512
 (TID 40) 638367793982498927 +    1.0076ms: Writing handshake part 4 (2) to pipe MSBuild2512
 (TID 40) 638367793982508857 +     0.993ms: Writing handshake part 5 (37605) to pipe MSBuild2512
 (TID 40) 638367793982519232 +    1.0375ms: Writing handshake part 6 (14) to pipe MSBuild2512
 (TID 40) 638367793982528828 +    0.9596ms: Reading handshake from pipe MSBuild2512
 (TID 40) 638367793982567200 +    3.8372ms: Successfully connected to pipe MSBuild2512...!
 (TID 40) 638367793982567200 +         0ms: Successfully connected to created node 2 which is PID 2512
 (TID 27) 638367798781451570 +  479888.4ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 27) 638367798781451570 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 27) 638367798781451570 +         0ms: Handshake salt is 
 (TID 27) 638367798781451570 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 27) 638367798781551386 +    9.9816ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 27) 638367798781551386 +         0ms: Trying to connect to existing process MSBuild with id 2512 to establish node 2...
 (TID 27) 638367798781551386 +         0ms: Attempting connect to PID 2512 with pipe MSBuild2512 with timeout 0 ms
 (TID 27) 638367798781551386 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild2512
 (TID 27) 638367798781591625 +    4.0239ms: Writing handshake part 1 (-231540569) to pipe MSBuild2512
 (TID 27) 638367798781591625 +         0ms: Writing handshake part 2 (17) to pipe MSBuild2512
 (TID 27) 638367798781591625 +         0ms: Writing handshake part 3 (7) to pipe MSBuild2512
