 (TID 28) 638373723955559131 +         0ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 28) 638373723955598839 +    3.9708ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 28) 638373723955603919 +     0.508ms: Handshake salt is 
 (TID 28) 638373723955603919 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 28) 638373723955719742 +   11.5823ms: Could not connect to existing process, now creating a process...
 (TID 28) 638373723955719742 +         0ms: Launching node from C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe
 (TID 28) 638373723955801358 +    8.1616ms: Successfully launched C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe node with PID 18896
 (TID 28) 638373723955903500 +   10.2142ms: Attempting connect to PID 18896 with pipe MSBuild18896 with timeout 30000 ms
 (TID 28) 638373723956994759 +  109.1259ms: Writing handshake part 0 (16777228) to pipe MSBuild18896
 (TID 28) 638373723957004829 +     1.007ms: Writing handshake part 1 (-231540569) to pipe MSBuild18896
 (TID 28) 638373723957004829 +         0ms: Writing handshake part 2 (17) to pipe MSBuild18896
 (TID 28) 638373723957004829 +         0ms: Writing handshake part 3 (7) to pipe MSBuild18896
 (TID 28) 638373723957004829 +         0ms: Writing handshake part 4 (2) to pipe MSBuild18896
 (TID 28) 638373723957004829 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild18896
 (TID 28) 638373723957004829 +         0ms: Writing handshake part 6 (18) to pipe MSBuild18896
 (TID 28) 638373723957004829 +         0ms: Reading handshake from pipe MSBuild18896
 (TID 28) 638373723957004829 +         0ms: Successfully connected to pipe MSBuild18896...!
 (TID 28) 638373723957004829 +         0ms: Successfully connected to created node 2 which is PID 18896
 (TID 92) 638373730592625104 +  663562.1ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 92) 638373730592635388 +    1.0284ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 92) 638373730592635388 +         0ms: Handshake salt is 
 (TID 92) 638373730592646565 +    1.1177ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 92) 638373730592700486 +    5.3921ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 92) 638373730592700486 +         0ms: Trying to connect to existing process MSBuild with id 18896 to establish node 2...
 (TID 92) 638373730592700486 +         0ms: Attempting connect to PID 18896 with pipe MSBuild18896 with timeout 0 ms
