 (TID 5) 638382710460006380 +         0ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 5) 638382710460157672 +   15.1292ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 5) 638382710460170833 +    1.3161ms: Handshake salt is 
 (TID 5) 638382710460170833 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 5) 638382710460170833 +         0ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 5) 638382710460170833 +         0ms: Trying to connect to existing process MSBuild with id 18388 to establish node 2...
 (TID 5) 638382710460170833 +         0ms: Attempting connect to PID 18388 with pipe MSBuild18388 with timeout 0 ms
 (TID 5) 638382710460170833 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild18388
 (TID 5) 638382710460170833 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild18388
 (TID 5) 638382710460315959 +   14.5126ms: Writing handshake part 2 (17) to pipe MSBuild18388
 (TID 5) 638382710460315959 +         0ms: Writing handshake part 3 (7) to pipe MSBuild18388
 (TID 5) 638382710460329862 +    1.3903ms: Writing handshake part 4 (2) to pipe MSBuild18388
 (TID 5) 638382710460329862 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild18388
 (TID 5) 638382710460340942 +     1.108ms: Writing handshake part 6 (1) to pipe MSBuild18388
 (TID 5) 638382710460340942 +         0ms: Reading handshake from pipe MSBuild18388
 (TID 5) 638382710460340942 +         0ms: Successfully connected to pipe MSBuild18388...!
 (TID 5) 638382710460340942 +         0ms: Successfully connected to existed node 2 which is PID 18388
 (TID 11) 638382710563576650 +  10323.57ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 11) 638382710563576650 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 11) 638382710563576650 +         0ms: Handshake salt is 
 (TID 11) 638382710563744147 +   16.7497ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 11) 638382710563744147 +         0ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 11) 638382710563744147 +         0ms: Trying to connect to existing process MSBuild with id 18388 to establish node 2...
 (TID 11) 638382710563744147 +         0ms: Attempting connect to PID 18388 with pipe MSBuild18388 with timeout 0 ms
 (TID 11) 638382710563744147 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild18388
 (TID 11) 638382710563883781 +   13.9634ms: Writing handshake part 1 (-231540569) to pipe MSBuild18388
 (TID 11) 638382710563883781 +         0ms: Writing handshake part 2 (17) to pipe MSBuild18388
 (TID 11) 638382710563898857 +    1.5076ms: Writing handshake part 3 (7) to pipe MSBuild18388
 (TID 11) 638382710563898857 +         0ms: Writing handshake part 4 (2) to pipe MSBuild18388
 (TID 11) 638382710563898857 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild18388
 (TID 11) 638382710563898857 +         0ms: Writing handshake part 6 (1) to pipe MSBuild18388
 (TID 11) 638382710563898857 +         0ms: Reading handshake from pipe MSBuild18388
 (TID 11) 638382710563898857 +         0ms: Successfully connected to pipe MSBuild18388...!
 (TID 11) 638382710563898857 +         0ms: Successfully connected to existed node 2 which is PID 18388
 (TID 32) 638382711200341887 +   63644.3ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 32) 638382711200350603 +    0.8716ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 32) 638382711200360653 +     1.005ms: Handshake salt is 
 (TID 32) 638382711200360653 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 32) 638382711200490753 +     13.01ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 32) 638382711200490753 +         0ms: Trying to connect to existing process MSBuild with id 18388 to establish node 2...
 (TID 32) 638382711200490753 +         0ms: Attempting connect to PID 18388 with pipe MSBuild18388 with timeout 0 ms
 (TID 32) 638382711200490753 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild18388
 (TID 32) 638382711200490753 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild18388
 (TID 32) 638382711200490753 +         0ms: Writing handshake part 2 (17) to pipe MSBuild18388
 (TID 32) 638382711200490753 +         0ms: Writing handshake part 3 (7) to pipe MSBuild18388
 (TID 32) 638382711200490753 +         0ms: Writing handshake part 4 (2) to pipe MSBuild18388
 (TID 32) 638382711200490753 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild18388
 (TID 32) 638382711200490753 +         0ms: Writing handshake part 6 (1) to pipe MSBuild18388
 (TID 32) 638382711200490753 +         0ms: Reading handshake from pipe MSBuild18388
 (TID 32) 638382711200647263 +    15.651ms: Successfully connected to pipe MSBuild18388...!
 (TID 32) 638382711200654713 +     0.745ms: Successfully connected to existed node 2 which is PID 18388
 (TID 87) 638382712198076932 +  99742.22ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 87) 638382712198087384 +    1.0452ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 87) 638382712198097392 +    1.0008ms: Handshake salt is 
 (TID 87) 638382712198097392 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 87) 638382712198212890 +   11.5498ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 87) 638382712198212890 +         0ms: Trying to connect to existing process MSBuild with id 18388 to establish node 2...
 (TID 87) 638382712198212890 +         0ms: Attempting connect to PID 18388 with pipe MSBuild18388 with timeout 0 ms
 (TID 87) 638382712198212890 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild18388
 (TID 87) 638382712198273987 +    6.1097ms: Writing handshake part 1 (-231540569) to pipe MSBuild18388
 (TID 87) 638382712198273987 +         0ms: Writing handshake part 2 (17) to pipe MSBuild18388
 (TID 87) 638382712198289894 +    1.5907ms: Writing handshake part 3 (7) to pipe MSBuild18388
 (TID 87) 638382712198289894 +         0ms: Writing handshake part 4 (2) to pipe MSBuild18388
 (TID 87) 638382712198302848 +    1.2954ms: Writing handshake part 5 (37605) to pipe MSBuild18388
 (TID 87) 638382712198312907 +    1.0059ms: Writing handshake part 6 (1) to pipe MSBuild18388
 (TID 87) 638382712198312907 +         0ms: Reading handshake from pipe MSBuild18388
 (TID 87) 638382712198384383 +    7.1476ms: Successfully connected to pipe MSBuild18388...!
 (TID 87) 638382712198394484 +    1.0101ms: Successfully connected to existed node 2 which is PID 18388
 (TID 19) 638382714690401000 +  249200.6ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 19) 638382714690408645 +    0.7645ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 19) 638382714690413867 +    0.5222ms: Handshake salt is 
 (TID 19) 638382714690421595 +    0.7728ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 19) 638382714690537670 +   11.6075ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 19) 638382714690543032 +    0.5362ms: Trying to connect to existing process MSBuild with id 18388 to establish node 2...
 (TID 19) 638382714690543032 +         0ms: Attempting connect to PID 18388 with pipe MSBuild18388 with timeout 0 ms
 (TID 19) 638382714690543032 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild18388
 (TID 19) 638382714690543032 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild18388
 (TID 19) 638382714690543032 +         0ms: Writing handshake part 2 (17) to pipe MSBuild18388
 (TID 19) 638382714690580684 +    3.7652ms: Writing handshake part 3 (7) to pipe MSBuild18388
 (TID 19) 638382714690586825 +    0.6141ms: Writing handshake part 4 (2) to pipe MSBuild18388
 (TID 19) 638382714690586825 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild18388
 (TID 19) 638382714690599663 +    1.2838ms: Writing handshake part 6 (1) to pipe MSBuild18388
 (TID 19) 638382714690607100 +    0.7437ms: Reading handshake from pipe MSBuild18388
 (TID 19) 638382714690620547 +    1.3447ms: Successfully connected to pipe MSBuild18388...!
 (TID 19) 638382714690620547 +         0ms: Successfully connected to existed node 2 which is PID 18388
 (TID 126) 638382720267556307 +  557693.6ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 126) 638382720267603888 +    4.7581ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 126) 638382720267618634 +    1.4746ms: Handshake salt is 
 (TID 126) 638382720267618634 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 126) 638382720267661975 +    4.3341ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 126) 638382720267661975 +         0ms: Trying to connect to existing process MSBuild with id 18388 to establish node 2...
 (TID 126) 638382720267661975 +         0ms: Attempting connect to PID 18388 with pipe MSBuild18388 with timeout 0 ms
 (TID 126) 638382720267756045 +     9.407ms: Writing handshake part 0 (16777228) to pipe MSBuild18388
 (TID 126) 638382720267765340 +    0.9295ms: Writing handshake part 1 (-231540569) to pipe MSBuild18388
 (TID 126) 638382720267765340 +         0ms: Writing handshake part 2 (17) to pipe MSBuild18388
 (TID 126) 638382720267765340 +         0ms: Writing handshake part 3 (7) to pipe MSBuild18388
 (TID 126) 638382720267765340 +         0ms: Writing handshake part 4 (2) to pipe MSBuild18388
 (TID 126) 638382720267765340 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild18388
 (TID 126) 638382720267765340 +         0ms: Writing handshake part 6 (1) to pipe MSBuild18388
 (TID 126) 638382720267803707 +    3.8367ms: Reading handshake from pipe MSBuild18388
 (TID 126) 638382720267862688 +    5.8981ms: Successfully connected to pipe MSBuild18388...!
 (TID 126) 638382720267872055 +    0.9367ms: Successfully connected to existed node 2 which is PID 18388
 (TID 96) 638382723707306785 +  343943.5ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 96) 638382723707306785 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 96) 638382723707306785 +         0ms: Handshake salt is 
 (TID 96) 638382723707306785 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 96) 638382723707539546 +   23.2761ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 96) 638382723707550060 +    1.0514ms: Trying to connect to existing process MSBuild with id 18388 to establish node 2...
 (TID 96) 638382723707560701 +    1.0641ms: Attempting connect to PID 18388 with pipe MSBuild18388 with timeout 0 ms
 (TID 96) 638382723707560701 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild18388
 (TID 96) 638382723707573189 +    1.2488ms: Writing handshake part 1 (-231540569) to pipe MSBuild18388
 (TID 96) 638382723707585305 +    1.2116ms: Writing handshake part 2 (17) to pipe MSBuild18388
 (TID 96) 638382723707594801 +    0.9496ms: Writing handshake part 3 (7) to pipe MSBuild18388
 (TID 96) 638382723707594801 +         0ms: Writing handshake part 4 (2) to pipe MSBuild18388
 (TID 96) 638382723707594801 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild18388
 (TID 96) 638382723707594801 +         0ms: Writing handshake part 6 (1) to pipe MSBuild18388
 (TID 96) 638382723707594801 +         0ms: Reading handshake from pipe MSBuild18388
 (TID 96) 638382723707594801 +         0ms: Successfully connected to pipe MSBuild18388...!
 (TID 96) 638382723707677378 +    8.2577ms: Successfully connected to existed node 2 which is PID 18388
 (TID 106) 638382724743791678 +  103611.4ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 106) 638382724743804389 +    1.2711ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 106) 638382724743810578 +    0.6189ms: Handshake salt is 
 (TID 106) 638382724743810578 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 106) 638382724743838298 +     2.772ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 106) 638382724743838298 +         0ms: Trying to connect to existing process MSBuild with id 18388 to establish node 2...
 (TID 106) 638382724743838298 +         0ms: Attempting connect to PID 18388 with pipe MSBuild18388 with timeout 0 ms
 (TID 106) 638382724743838298 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild18388
 (TID 106) 638382724743838298 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild18388
 (TID 106) 638382724743962143 +   12.3845ms: Writing handshake part 2 (17) to pipe MSBuild18388
 (TID 106) 638382724743976026 +    1.3883ms: Writing handshake part 3 (7) to pipe MSBuild18388
 (TID 106) 638382724743976026 +         0ms: Writing handshake part 4 (2) to pipe MSBuild18388
 (TID 106) 638382724743976026 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild18388
