 (TID 70) 638374603906640837 +         0ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 70) 638374603906656164 +    1.5327ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 70) 638374603906656164 +         0ms: Handshake salt is 
 (TID 70) 638374603906656164 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 70) 638374603906796829 +   14.0665ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 70) 638374603906796829 +         0ms: Trying to connect to existing process MSBuild with id 4280 to establish node 2...
 (TID 70) 638374603906816934 +    2.0105ms: Attempting connect to PID 4280 with pipe MSBuild4280 with timeout 0 ms
 (TID 70) 638374603906816934 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild4280
 (TID 70) 638374603906837021 +    2.0087ms: Writing handshake part 1 (-231540569) to pipe MSBuild4280
 (TID 70) 638374603906837021 +         0ms: Writing handshake part 2 (17) to pipe MSBuild4280
 (TID 70) 638374603906851627 +    1.4606ms: Writing handshake part 3 (7) to pipe MSBuild4280
 (TID 70) 638374603906851627 +         0ms: Writing handshake part 4 (2) to pipe MSBuild4280
 (TID 70) 638374603906851627 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild4280
 (TID 70) 638374603906851627 +         0ms: Writing handshake part 6 (20) to pipe MSBuild4280
 (TID 70) 638374603906870699 +    1.9072ms: Reading handshake from pipe MSBuild4280
 (TID 70) 638374603906870699 +         0ms: Successfully connected to pipe MSBuild4280...!
 (TID 70) 638374603906870699 +         0ms: Successfully connected to existed node 2 which is PID 4280
 (TID 66) 638374605098034538 +  119116.4ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 66) 638374605098034538 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 66) 638374605098034538 +         0ms: Handshake salt is 
 (TID 66) 638374605098034538 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 66) 638374605098139121 +   10.4583ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 66) 638374605098154980 +    1.5859ms: Trying to connect to existing process MSBuild with id 4280 to establish node 2...
 (TID 66) 638374605098154980 +         0ms: Attempting connect to PID 4280 with pipe MSBuild4280 with timeout 0 ms
 (TID 66) 638374605098154980 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild4280
 (TID 66) 638374605098154980 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild4280
 (TID 66) 638374605098173162 +    1.8182ms: Writing handshake part 2 (17) to pipe MSBuild4280
 (TID 66) 638374605098173162 +         0ms: Writing handshake part 3 (7) to pipe MSBuild4280
 (TID 66) 638374605098183756 +    1.0594ms: Writing handshake part 4 (2) to pipe MSBuild4280
 (TID 66) 638374605098183756 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild4280
 (TID 66) 638374605098183756 +         0ms: Writing handshake part 6 (20) to pipe MSBuild4280
 (TID 66) 638374605098183756 +         0ms: Reading handshake from pipe MSBuild4280
 (TID 66) 638374605098233863 +    5.0107ms: Successfully connected to pipe MSBuild4280...!
 (TID 66) 638374605098233863 +         0ms: Successfully connected to existed node 2 which is PID 4280
