 (TID 65) 638366750881124763 +    2.0029ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 65) 638366750881134732 +    0.9969ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 65) 638366750881144794 +    1.0062ms: Handshake salt is 
 (TID 65) 638366750881144794 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 65) 638366750881234732 +    8.9938ms: Could not connect to existing process, now creating a process...
 (TID 65) 638366750881244912 +     1.018ms: Launching node from C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe
 (TID 65) 638366750881628911 +   38.3999ms: Successfully launched C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe node with PID 10364
 (TID 65) 638366750881698958 +    7.0047ms: Attempting connect to PID 10364 with pipe MSBuild10364 with timeout 30000 ms
 (TID 65) 638366750882916297 +  121.7339ms: Writing handshake part 0 (16777228) to pipe MSBuild10364
 (TID 65) 638366750882935830 +    1.9533ms: Writing handshake part 1 (-231540569) to pipe MSBuild10364
 (TID 65) 638366750882945745 +    0.9915ms: Writing handshake part 2 (17) to pipe MSBuild10364
 (TID 65) 638366750882945745 +         0ms: Writing handshake part 3 (7) to pipe MSBuild10364
 (TID 65) 638366750882956208 +    1.0463ms: Writing handshake part 4 (2) to pipe MSBuild10364
 (TID 65) 638366750882956208 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild10364
 (TID 65) 638366750882965749 +    0.9541ms: Writing handshake part 6 (12) to pipe MSBuild10364
 (TID 65) 638366750882965749 +         0ms: Reading handshake from pipe MSBuild10364
 (TID 65) 638366750883037481 +    7.1732ms: Successfully connected to pipe MSBuild10364...!
 (TID 65) 638366750883037481 +         0ms: Successfully connected to created node 2 which is PID 10364
 (TID 37) 638366752181614237 +  129857.7ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 37) 638366752181624251 +    1.0014ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 37) 638366752181634249 +    0.9998ms: Handshake salt is 
 (TID 37) 638366752181644239 +     0.999ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 37) 638366752181734205 +    8.9966ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 37) 638366752181734205 +         0ms: Trying to connect to existing process MSBuild with id 10364 to establish node 2...
 (TID 37) 638366752181744339 +    1.0134ms: Attempting connect to PID 10364 with pipe MSBuild10364 with timeout 0 ms
 (TID 37) 638366752181744339 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild10364
 (TID 37) 638366752181754201 +    0.9862ms: Writing handshake part 1 (-231540569) to pipe MSBuild10364
 (TID 37) 638366752181754201 +         0ms: Writing handshake part 2 (17) to pipe MSBuild10364
 (TID 37) 638366752181754201 +         0ms: Writing handshake part 3 (7) to pipe MSBuild10364
 (TID 37) 638366752181764250 +    1.0049ms: Writing handshake part 4 (2) to pipe MSBuild10364
 (TID 37) 638366752181764250 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild10364
 (TID 37) 638366752181764250 +         0ms: Writing handshake part 6 (12) to pipe MSBuild10364
 (TID 37) 638366752181774205 +    0.9955ms: Reading handshake from pipe MSBuild10364
 (TID 37) 638366752181834827 +    6.0622ms: Successfully connected to pipe MSBuild10364...!
 (TID 37) 638366752181844276 +    0.9449ms: Successfully connected to existed node 2 which is PID 10364
 (TID 46) 638366752988207590 +  80636.34ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 46) 638366752988217606 +    1.0016ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 46) 638366752988227759 +    1.0153ms: Handshake salt is 
 (TID 46) 638366752988227759 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 46) 638366752988297640 +    6.9881ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 46) 638366752988297640 +         0ms: Trying to connect to existing process MSBuild with id 10364 to establish node 2...
 (TID 46) 638366752988307603 +    0.9963ms: Attempting connect to PID 10364 with pipe MSBuild10364 with timeout 0 ms
 (TID 46) 638366752988317593 +     0.999ms: Writing handshake part 0 (16777228) to pipe MSBuild10364
 (TID 46) 638366752988317593 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild10364
 (TID 46) 638366752988327599 +    1.0006ms: Writing handshake part 2 (17) to pipe MSBuild10364
 (TID 46) 638366752988327599 +         0ms: Writing handshake part 3 (7) to pipe MSBuild10364
 (TID 46) 638366752988338446 +    1.0847ms: Writing handshake part 4 (2) to pipe MSBuild10364
 (TID 46) 638366752988338446 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild10364
 (TID 46) 638366752988348312 +    0.9866ms: Writing handshake part 6 (12) to pipe MSBuild10364
 (TID 46) 638366752988348312 +         0ms: Reading handshake from pipe MSBuild10364
 (TID 46) 638366752988408766 +    6.0454ms: Successfully connected to pipe MSBuild10364...!
 (TID 46) 638366752988408766 +         0ms: Successfully connected to existed node 2 which is PID 10364
 (TID 53) 638366755213981312 +  222557.3ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 53) 638366755213991467 +    1.0155ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 53) 638366755213991467 +         0ms: Handshake salt is 
 (TID 53) 638366755214001528 +    1.0061ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 53) 638366755214136691 +   13.5163ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 53) 638366755214145308 +    0.8617ms: Trying to connect to existing process MSBuild with id 10364 to establish node 2...
 (TID 53) 638366755214155195 +    0.9887ms: Attempting connect to PID 10364 with pipe MSBuild10364 with timeout 0 ms
 (TID 53) 638366755214155195 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild10364
 (TID 53) 638366755214155195 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild10364
 (TID 53) 638366755214155195 +         0ms: Writing handshake part 2 (17) to pipe MSBuild10364
 (TID 53) 638366755214155195 +         0ms: Writing handshake part 3 (7) to pipe MSBuild10364
 (TID 53) 638366755214155195 +         0ms: Writing handshake part 4 (2) to pipe MSBuild10364
 (TID 53) 638366755214155195 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild10364
 (TID 53) 638366755214213823 +    5.8628ms: Writing handshake part 6 (12) to pipe MSBuild10364
 (TID 53) 638366755214220602 +    0.6779ms: Reading handshake from pipe MSBuild10364
 (TID 53) 638366755214346558 +   12.5956ms: Successfully connected to pipe MSBuild10364...!
 (TID 53) 638366755214346558 +         0ms: Successfully connected to existed node 2 which is PID 10364
