 (TID 38) 638376407945630044 +    0.5062ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 38) 638376407945640457 +    1.0413ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 38) 638376407945640457 +         0ms: Handshake salt is 
 (TID 38) 638376407945640457 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 38) 638376407945730444 +    8.9987ms: Could not connect to existing process, now creating a process...
 (TID 38) 638376407945780525 +    5.0081ms: Launching node from C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe
 (TID 38) 638376407945830661 +    5.0136ms: Successfully launched C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe node with PID 12952
 (TID 38) 638376407945957217 +   12.6556ms: Attempting connect to PID 12952 with pipe MSBuild12952 with timeout 30000 ms
 (TID 38) 638376407946897387 +    94.017ms: Writing handshake part 0 (16777228) to pipe MSBuild12952
 (TID 38) 638376407946897387 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild12952
 (TID 38) 638376407946897387 +         0ms: Writing handshake part 2 (17) to pipe MSBuild12952
 (TID 38) 638376407946897387 +         0ms: Writing handshake part 3 (7) to pipe MSBuild12952
 (TID 38) 638376407946931904 +    3.4517ms: Writing handshake part 4 (2) to pipe MSBuild12952
 (TID 38) 638376407946931904 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild12952
 (TID 38) 638376407946931904 +         0ms: Writing handshake part 6 (21) to pipe MSBuild12952
 (TID 38) 638376407946931904 +         0ms: Reading handshake from pipe MSBuild12952
 (TID 38) 638376407947033474 +    10.157ms: Successfully connected to pipe MSBuild12952...!
 (TID 38) 638376407947033474 +         0ms: Successfully connected to created node 2 which is PID 12952
