 (TID 14) 638384189762230037 +    0.9943ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 14) 638384189762240046 +    1.0009ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 14) 638384189762240046 +         0ms: Handshake salt is 
 (TID 14) 638384189762250051 +    1.0005ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 14) 638384189762356656 +   10.6605ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 14) 638384189762366657 +    1.0001ms: Trying to connect to existing process MSBuild with id 20056 to establish node 2...
 (TID 14) 638384189762396646 +    2.9989ms: Attempting connect to PID 20056 with pipe MSBuild20056 with timeout 0 ms
 (TID 14) 638384189762396646 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild20056
 (TID 14) 638384189762406658 +    1.0012ms: Writing handshake part 1 (-231540569) to pipe MSBuild20056
 (TID 14) 638384189762416652 +    0.9994ms: Writing handshake part 2 (17) to pipe MSBuild20056
 (TID 14) 638384189762425759 +    0.9107ms: Writing handshake part 3 (7) to pipe MSBuild20056
 (TID 14) 638384189762433535 +    0.7776ms: Writing handshake part 4 (2) to pipe MSBuild20056
 (TID 14) 638384189762433535 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild20056
 (TID 14) 638384189762444052 +    1.0517ms: Writing handshake part 6 (1) to pipe MSBuild20056
 (TID 14) 638384189762454046 +    0.9994ms: Reading handshake from pipe MSBuild20056
 (TID 14) 638384189762474040 +    1.9994ms: Successfully connected to pipe MSBuild20056...!
 (TID 14) 638384189762484066 +    1.0026ms: Successfully connected to existed node 2 which is PID 20056
 (TID 12) 638384189863397570 +  10091.35ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 12) 638384189863397570 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 12) 638384189863397570 +         0ms: Handshake salt is 
 (TID 12) 638384189863553790 +    15.622ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 12) 638384189863553790 +         0ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 12) 638384189863553790 +         0ms: Trying to connect to existing process MSBuild with id 20056 to establish node 2...
 (TID 12) 638384189863553790 +         0ms: Attempting connect to PID 20056 with pipe MSBuild20056 with timeout 0 ms
