 (TID 23) 638367875079821623 +         0ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 23) 638367875079831592 +    0.9969ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 23) 638367875079831592 +         0ms: Handshake salt is 
 (TID 23) 638367875079841594 +    1.0002ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 23) 638367875079963321 +   12.1727ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 23) 638367875079963321 +         0ms: Trying to connect to existing process MSBuild with id 11864 to establish node 2...
 (TID 23) 638367875079983409 +    2.0088ms: Attempting connect to PID 11864 with pipe MSBuild11864 with timeout 0 ms
 (TID 23) 638367875079983409 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild11864
 (TID 23) 638367875079993471 +    1.0062ms: Writing handshake part 1 (-231540569) to pipe MSBuild11864
 (TID 23) 638367875079993471 +         0ms: Writing handshake part 2 (17) to pipe MSBuild11864
 (TID 23) 638367875080003488 +    1.0017ms: Writing handshake part 3 (7) to pipe MSBuild11864
 (TID 23) 638367875080003488 +         0ms: Writing handshake part 4 (2) to pipe MSBuild11864
 (TID 23) 638367875080013471 +    0.9983ms: Writing handshake part 5 (37605) to pipe MSBuild11864
 (TID 23) 638367875080013471 +         0ms: Writing handshake part 6 (14) to pipe MSBuild11864
 (TID 23) 638367875080013471 +         0ms: Reading handshake from pipe MSBuild11864
 (TID 23) 638367875080063292 +    4.9821ms: Successfully connected to pipe MSBuild11864...!
 (TID 23) 638367875080063292 +         0ms: Successfully connected to existed node 2 which is PID 11864
 (TID 31) 638367876020690745 +  94062.74ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 31) 638367876020690745 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 31) 638367876020703950 +    1.3205ms: Handshake salt is 
 (TID 31) 638367876020703950 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 31) 638367876020830513 +   12.6563ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 31) 638367876020830513 +         0ms: Trying to connect to existing process MSBuild with id 11864 to establish node 2...
 (TID 31) 638367876020840614 +    1.0101ms: Attempting connect to PID 11864 with pipe MSBuild11864 with timeout 0 ms
 (TID 31) 638367876020840614 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild11864
 (TID 31) 638367876020850604 +     0.999ms: Writing handshake part 1 (-231540569) to pipe MSBuild11864
 (TID 31) 638367876020850604 +         0ms: Writing handshake part 2 (17) to pipe MSBuild11864
 (TID 31) 638367876020860747 +    1.0143ms: Writing handshake part 3 (7) to pipe MSBuild11864
 (TID 31) 638367876020865806 +    0.5059ms: Writing handshake part 4 (2) to pipe MSBuild11864
 (TID 31) 638367876020865806 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild11864
 (TID 31) 638367876020875867 +    1.0061ms: Writing handshake part 6 (14) to pipe MSBuild11864
 (TID 31) 638367876020875867 +         0ms: Reading handshake from pipe MSBuild11864
 (TID 31) 638367876020951271 +    7.5404ms: Successfully connected to pipe MSBuild11864...!
 (TID 31) 638367876020961186 +    0.9915ms: Successfully connected to existed node 2 which is PID 11864
 (TID 70) 638367877790166004 +  176920.5ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 70) 638367877790166004 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 70) 638367877790166004 +         0ms: Handshake salt is 
 (TID 70) 638367877790166004 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 70) 638367877790321190 +   15.5186ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 70) 638367877790321190 +         0ms: Trying to connect to existing process MSBuild with id 11864 to establish node 2...
 (TID 70) 638367877790321190 +         0ms: Attempting connect to PID 11864 with pipe MSBuild11864 with timeout 0 ms
 (TID 70) 638367877790321190 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild11864
 (TID 70) 638367877790344502 +    2.3312ms: Writing handshake part 1 (-231540569) to pipe MSBuild11864
 (TID 70) 638367877790344502 +         0ms: Writing handshake part 2 (17) to pipe MSBuild11864
 (TID 70) 638367877790354569 +    1.0067ms: Writing handshake part 3 (7) to pipe MSBuild11864
 (TID 70) 638367877790362209 +     0.764ms: Writing handshake part 4 (2) to pipe MSBuild11864
 (TID 70) 638367877790362209 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild11864
 (TID 70) 638367877790372289 +     1.008ms: Writing handshake part 6 (14) to pipe MSBuild11864
 (TID 70) 638367877790372289 +         0ms: Reading handshake from pipe MSBuild11864
 (TID 70) 638367877790495412 +   12.3123ms: Successfully connected to pipe MSBuild11864...!
 (TID 70) 638367877790495412 +         0ms: Successfully connected to existed node 2 which is PID 11864
