 (TID 76) 638367602336029714 +    7.5078ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 76) 638367602336056096 +    2.6382ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 76) 638367602336056096 +         0ms: Handshake salt is 
 (TID 76) 638367602336056096 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 76) 638367602336186294 +   13.0198ms: Could not connect to existing process, now creating a process...
 (TID 76) 638367602336186294 +         0ms: Launching node from C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe
 (TID 76) 638367602336415491 +   22.9197ms: Successfully launched C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe node with PID 25272
 (TID 76) 638367602336500720 +    8.5229ms: Attempting connect to PID 25272 with pipe MSBuild25272 with timeout 30000 ms
 (TID 76) 638367602340709916 +  420.9196ms: Writing handshake part 0 (16777228) to pipe MSBuild25272
 (TID 76) 638367602340709916 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild25272
 (TID 76) 638367602340709916 +         0ms: Writing handshake part 2 (17) to pipe MSBuild25272
 (TID 76) 638367602340709916 +         0ms: Writing handshake part 3 (7) to pipe MSBuild25272
 (TID 76) 638367602340709916 +         0ms: Writing handshake part 4 (2) to pipe MSBuild25272
 (TID 76) 638367602340709916 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild25272
 (TID 76) 638367602340709916 +         0ms: Writing handshake part 6 (14) to pipe MSBuild25272
 (TID 76) 638367602340709916 +         0ms: Reading handshake from pipe MSBuild25272
 (TID 76) 638367602340912281 +   20.2365ms: Successfully connected to pipe MSBuild25272...!
 (TID 76) 638367602340912281 +         0ms: Successfully connected to created node 2 which is PID 25272
 (TID 13) 638367603808754500 +  146784.2ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 13) 638367603808754500 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 13) 638367603808789599 +    3.5099ms: Handshake salt is 
