OutOfProc Endpoint Packet Pump (TID 4) 638367868591910362 +         0ms: Waiting for connection 900000 ms...
OutOfProc Endpoint Packet Pump (TID 4) 638367868592070499 +   16.0137ms: Parent started connecting. Reading handshake from parent
OutOfProc Endpoint Packet Pump (TID 4) 638367868592085961 +    1.5462ms: Building handshake for node type TaskHost, (version 1): options 16777217.
OutOfProc Endpoint Packet Pump (TID 4) 638367868592085961 +         0ms: Handshake salt is 
OutOfProc Endpoint Packet Pump (TID 4) 638367868592085961 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
OutOfProc Endpoint Packet Pump (TID 4) 638367868592231640 +   14.5679ms: Successfully connected to parent.
OutOfProc Endpoint Packet Pump (TID 4) 638367868592231640 +         0ms: Changing link status from Inactive to Active
OutOfProc Endpoint Packet Pump (TID 4) 638367868592231640 +         0ms: Entering read loop.
OutOfProc Endpoint Packet Pump (TID 4) 638367868647217478 +  5498.584ms: Disconnecting voluntarily
OutOfProc Endpoint Packet Pump (TID 4) 638367868647227497 +    1.0019ms: Changing link status from Active to Failed
OutOfProc Endpoint Packet Pump (TID 4) 638367868647227497 +         0ms: Ending read loop
 (TID 1) 638367868647237501 +    1.0004ms: Changing link status from Failed to Inactive
 (TID 32) 638374530357037735 +         0ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 32) 638374530357037735 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 32) 638374530357193832 +   15.6097ms: Handshake salt is 
 (TID 32) 638374530357198928 +    0.5096ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 32) 638374530357211778 +     1.285ms: Could not connect to existing process, now creating a process...
 (TID 32) 638374530357300772 +    8.8994ms: Launching node from C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe
 (TID 32) 638374530357507644 +   20.6872ms: Successfully launched C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe node with PID 1316
 (TID 32) 638374530357507644 +         0ms: Attempting connect to PID 1316 with pipe MSBuild1316 with timeout 30000 ms
 (TID 32) 638374530363334779 +  582.7135ms: Writing handshake part 0 (16777228) to pipe MSBuild1316
 (TID 32) 638374530363334779 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild1316
 (TID 32) 638374530363334779 +         0ms: Writing handshake part 2 (17) to pipe MSBuild1316
 (TID 32) 638374530363334779 +         0ms: Writing handshake part 3 (7) to pipe MSBuild1316
 (TID 32) 638374530363334779 +         0ms: Writing handshake part 4 (2) to pipe MSBuild1316
 (TID 32) 638374530363334779 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild1316
 (TID 32) 638374530363334779 +         0ms: Writing handshake part 6 (20) to pipe MSBuild1316
 (TID 32) 638374530363334779 +         0ms: Reading handshake from pipe MSBuild1316
 (TID 32) 638374530363490204 +   15.5425ms: Successfully connected to pipe MSBuild1316...!
 (TID 32) 638374530363490204 +         0ms: Successfully connected to created node 2 which is PID 1316
