 (TID 5) 638374582471404173 +         0ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 5) 638374582471414975 +    1.0802ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 5) 638374582471424658 +    0.9683ms: Handshake salt is 
 (TID 5) 638374582471424658 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 5) 638374582471554162 +   12.9504ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 5) 638374582471564254 +    1.0092ms: Trying to connect to existing process MSBuild with id 4280 to establish node 2...
 (TID 5) 638374582471574305 +    1.0051ms: Attempting connect to PID 4280 with pipe MSBuild4280 with timeout 0 ms
 (TID 5) 638374582471584296 +    0.9991ms: Writing handshake part 0 (16777228) to pipe MSBuild4280
 (TID 5) 638374582471584296 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild4280
 (TID 5) 638374582471594225 +    0.9929ms: Writing handshake part 2 (17) to pipe MSBuild4280
 (TID 5) 638374582471594225 +         0ms: Writing handshake part 3 (7) to pipe MSBuild4280
 (TID 5) 638374582471604243 +    1.0018ms: Writing handshake part 4 (2) to pipe MSBuild4280
 (TID 5) 638374582471604243 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild4280
 (TID 5) 638374582471604243 +         0ms: Writing handshake part 6 (20) to pipe MSBuild4280
 (TID 5) 638374582471614219 +    0.9976ms: Reading handshake from pipe MSBuild4280
 (TID 5) 638374582471684273 +    7.0054ms: Successfully connected to pipe MSBuild4280...!
 (TID 5) 638374582471694246 +    0.9973ms: Successfully connected to existed node 2 which is PID 4280
 (TID 87) 638374585551054956 +  307936.1ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 87) 638374585551054956 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 87) 638374585551054956 +         0ms: Handshake salt is 
 (TID 87) 638374585551054956 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 87) 638374585551054956 +         0ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 87) 638374585551054956 +         0ms: Trying to connect to existing process MSBuild with id 4280 to establish node 2...
 (TID 87) 638374585551054956 +         0ms: Attempting connect to PID 4280 with pipe MSBuild4280 with timeout 0 ms
 (TID 87) 638374585551054956 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild4280
 (TID 87) 638374585551054956 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild4280
 (TID 87) 638374585551054956 +         0ms: Writing handshake part 2 (17) to pipe MSBuild4280
 (TID 87) 638374585551191504 +   13.6548ms: Writing handshake part 3 (7) to pipe MSBuild4280
 (TID 87) 638374585551201534 +     1.003ms: Writing handshake part 4 (2) to pipe MSBuild4280
 (TID 87) 638374585551212111 +    1.0577ms: Writing handshake part 5 (37605) to pipe MSBuild4280
 (TID 87) 638374585551212111 +         0ms: Writing handshake part 6 (20) to pipe MSBuild4280
 (TID 87) 638374585551222214 +    1.0103ms: Reading handshake from pipe MSBuild4280
 (TID 87) 638374585551256044 +     3.383ms: Successfully connected to pipe MSBuild4280...!
 (TID 87) 638374585551266085 +    1.0041ms: Successfully connected to existed node 2 which is PID 4280
 (TID 66) 638374586980355869 +    142909ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 66) 638374586980355869 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 66) 638374586980355869 +         0ms: Handshake salt is 
 (TID 66) 638374586980355869 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 66) 638374586980485502 +   12.9633ms: Attempting to connect to 1 existing processes 'MSBuild'...
