 (TID 40) 638382291016133849 +         0ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 40) 638382291016178225 +    4.4376ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 40) 638382291016178225 +         0ms: Handshake salt is 
 (TID 40) 638382291016216072 +    3.7847ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 40) 638382291016321542 +    10.547ms: Could not connect to existing process, now creating a process...
 (TID 40) 638382291016344939 +    2.3397ms: Launching node from C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe
 (TID 40) 638382291016390338 +    4.5399ms: Successfully launched C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe node with PID 13080
 (TID 40) 638382291016390338 +         0ms: Attempting connect to PID 13080 with pipe MSBuild13080 with timeout 30000 ms
 (TID 40) 638382291019230647 +  284.0309ms: Writing handshake part 0 (16777228) to pipe MSBuild13080
 (TID 40) 638382291019230647 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild13080
 (TID 40) 638382291019230647 +         0ms: Writing handshake part 2 (17) to pipe MSBuild13080
 (TID 40) 638382291019230647 +         0ms: Writing handshake part 3 (7) to pipe MSBuild13080
 (TID 40) 638382291019291593 +    6.0946ms: Writing handshake part 4 (2) to pipe MSBuild13080
 (TID 40) 638382291019291593 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild13080
 (TID 40) 638382291019328793 +      3.72ms: Writing handshake part 6 (1) to pipe MSBuild13080
 (TID 40) 638382291019328793 +         0ms: Reading handshake from pipe MSBuild13080
 (TID 40) 638382291019343513 +     1.472ms: Successfully connected to pipe MSBuild13080...!
 (TID 40) 638382291019343513 +         0ms: Successfully connected to created node 2 which is PID 13080
 (TID 39) 638382292814888011 +  179554.4ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 39) 638382292814888011 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 39) 638382292814888011 +         0ms: Handshake salt is 
 (TID 39) 638382292814888011 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 39) 638382292815008217 +   12.0206ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 39) 638382292815008217 +         0ms: Trying to connect to existing process MSBuild with id 13080 to establish node 2...
 (TID 39) 638382292815008217 +         0ms: Attempting connect to PID 13080 with pipe MSBuild13080 with timeout 0 ms
 (TID 39) 638382292815008217 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild13080
 (TID 39) 638382292815008217 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild13080
 (TID 39) 638382292815008217 +         0ms: Writing handshake part 2 (17) to pipe MSBuild13080
 (TID 39) 638382292815008217 +         0ms: Writing handshake part 3 (7) to pipe MSBuild13080
 (TID 39) 638382292815008217 +         0ms: Writing handshake part 4 (2) to pipe MSBuild13080
 (TID 39) 638382292815008217 +         0ms: Writing handshake part 5 (37605) to pipe MSBuild13080
 (TID 39) 638382292815008217 +         0ms: Writing handshake part 6 (1) to pipe MSBuild13080
 (TID 39) 638382292815008217 +         0ms: Reading handshake from pipe MSBuild13080
 (TID 39) 638382292815320812 +   31.2595ms: Successfully connected to pipe MSBuild13080...!
 (TID 39) 638382292815320812 +         0ms: Successfully connected to existed node 2 which is PID 13080
 (TID 119) 638382296343130526 +    352781ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 119) 638382296343145139 +    1.4613ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 119) 638382296343155220 +    1.0081ms: Handshake salt is 
 (TID 119) 638382296343155220 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 119) 638382296343280533 +   12.5313ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 119) 638382296343280533 +         0ms: Trying to connect to existing process MSBuild with id 13080 to establish node 2...
 (TID 119) 638382296343280533 +         0ms: Attempting connect to PID 13080 with pipe MSBuild13080 with timeout 0 ms
 (TID 119) 638382296343280533 +         0ms: Writing handshake part 0 (16777228) to pipe MSBuild13080
 (TID 119) 638382296343280533 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild13080
 (TID 119) 638382296343280533 +         0ms: Writing handshake part 2 (17) to pipe MSBuild13080
 (TID 119) 638382296343326997 +    4.6464ms: Writing handshake part 3 (7) to pipe MSBuild13080
 (TID 119) 638382296343326997 +         0ms: Writing handshake part 4 (2) to pipe MSBuild13080
 (TID 119) 638382296343337070 +    1.0073ms: Writing handshake part 5 (37605) to pipe MSBuild13080
 (TID 119) 638382296343337070 +         0ms: Writing handshake part 6 (1) to pipe MSBuild13080
 (TID 119) 638382296343347067 +    0.9997ms: Reading handshake from pipe MSBuild13080
 (TID 119) 638382296343458035 +   11.0968ms: Successfully connected to pipe MSBuild13080...!
 (TID 119) 638382296343459876 +    0.1841ms: Successfully connected to existed node 2 which is PID 13080
 (TID 177) 638382299431316193 +  308785.6ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 177) 638382299431325511 +    0.9318ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 177) 638382299431330616 +    0.5105ms: Handshake salt is 
 (TID 177) 638382299431330616 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 177) 638382299431476380 +   14.5764ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 177) 638382299431488403 +    1.2023ms: Trying to connect to existing process MSBuild with id 13080 to establish node 2...
 (TID 177) 638382299431488403 +         0ms: Attempting connect to PID 13080 with pipe MSBuild13080 with timeout 0 ms
 (TID 177) 638382299431499763 +     1.136ms: Writing handshake part 0 (16777228) to pipe MSBuild13080
 (TID 177) 638382299431505549 +    0.5786ms: Writing handshake part 1 (-231540569) to pipe MSBuild13080
 (TID 177) 638382299431505549 +         0ms: Writing handshake part 2 (17) to pipe MSBuild13080
 (TID 177) 638382299431518411 +    1.2862ms: Writing handshake part 3 (7) to pipe MSBuild13080
 (TID 177) 638382299431518411 +         0ms: Writing handshake part 4 (2) to pipe MSBuild13080
 (TID 177) 638382299431535080 +    1.6669ms: Writing handshake part 5 (37605) to pipe MSBuild13080
 (TID 177) 638382299431535080 +         0ms: Writing handshake part 6 (1) to pipe MSBuild13080
 (TID 177) 638382299431535080 +         0ms: Reading handshake from pipe MSBuild13080
 (TID 177) 638382299431690905 +   15.5825ms: Successfully connected to pipe MSBuild13080...!
 (TID 177) 638382299431690905 +         0ms: Successfully connected to existed node 2 which is PID 13080
 (TID 139) 638382309929496265 +   1049781ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 139) 638382309929496265 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 139) 638382309929496265 +         0ms: Handshake salt is 
 (TID 139) 638382309929496265 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 139) 638382309929597426 +   10.1161ms: Could not connect to existing process, now creating a process...
 (TID 139) 638382309929657516 +     6.009ms: Launching node from C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe
 (TID 139) 638382309929948384 +   29.0868ms: Successfully launched C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe node with PID 8284
 (TID 139) 638382309930041501 +    9.3117ms: Attempting connect to PID 8284 with pipe MSBuild8284 with timeout 30000 ms
 (TID 139) 638382309933303250 +  326.1749ms: Writing handshake part 0 (16777228) to pipe MSBuild8284
 (TID 139) 638382309933303250 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild8284
 (TID 139) 638382309933303250 +         0ms: Writing handshake part 2 (17) to pipe MSBuild8284
 (TID 139) 638382309933303250 +         0ms: Writing handshake part 3 (7) to pipe MSBuild8284
 (TID 139) 638382309933303250 +         0ms: Writing handshake part 4 (2) to pipe MSBuild8284
 (TID 139) 638382309933363280 +     6.003ms: Writing handshake part 5 (37605) to pipe MSBuild8284
 (TID 139) 638382309933383416 +    2.0136ms: Writing handshake part 6 (1) to pipe MSBuild8284
 (TID 139) 638382309933384916 +      0.15ms: Reading handshake from pipe MSBuild8284
 (TID 139) 638382309933471006 +     8.609ms: Successfully connected to pipe MSBuild8284...!
 (TID 139) 638382309933471006 +         0ms: Successfully connected to created node 2 which is PID 8284
 (TID 153) 638382312647873286 +  271440.2ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 153) 638382312647899662 +    2.6376ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 153) 638382312647909749 +    1.0087ms: Handshake salt is 
 (TID 153) 638382312647921818 +    1.2069ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 153) 638382312648025757 +   10.3939ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 153) 638382312648045842 +    2.0085ms: Trying to connect to existing process MSBuild with id 8284 to establish node 2...
 (TID 153) 638382312648045842 +         0ms: Attempting connect to PID 8284 with pipe MSBuild8284 with timeout 0 ms
 (TID 153) 638382312648063037 +    1.7195ms: Writing handshake part 0 (16777228) to pipe MSBuild8284
 (TID 153) 638382312648073030 +    0.9993ms: Writing handshake part 1 (-231540569) to pipe MSBuild8284
 (TID 153) 638382312648083022 +    0.9992ms: Writing handshake part 2 (17) to pipe MSBuild8284
 (TID 153) 638382312648089028 +    0.6006ms: Writing handshake part 3 (7) to pipe MSBuild8284
 (TID 153) 638382312648089915 +    0.0887ms: Writing handshake part 4 (2) to pipe MSBuild8284
 (TID 153) 638382312648099982 +    1.0067ms: Writing handshake part 5 (37605) to pipe MSBuild8284
 (TID 153) 638382312648103771 +    0.3789ms: Writing handshake part 6 (1) to pipe MSBuild8284
 (TID 153) 638382312648103771 +         0ms: Reading handshake from pipe MSBuild8284
 (TID 153) 638382312648232419 +   12.8648ms: Successfully connected to pipe MSBuild8284...!
 (TID 153) 638382312648232419 +         0ms: Successfully connected to existed node 2 which is PID 8284
 (TID 161) 638382313588402814 +  94017.04ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 161) 638382313588402814 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 161) 638382313588412807 +    0.9993ms: Handshake salt is 
 (TID 161) 638382313588412807 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
 (TID 161) 638382313588461308 +    4.8501ms: Attempting to connect to 1 existing processes 'MSBuild'...
 (TID 161) 638382313588461308 +         0ms: Trying to connect to existing process MSBuild with id 8284 to establish node 2...
 (TID 161) 638382313588461308 +         0ms: Attempting connect to PID 8284 with pipe MSBuild8284 with timeout 0 ms
 (TID 161) 638382313588560184 +    9.8876ms: Writing handshake part 0 (16777228) to pipe MSBuild8284
 (TID 161) 638382313588560184 +         0ms: Writing handshake part 1 (-231540569) to pipe MSBuild8284
 (TID 161) 638382313588570266 +    1.0082ms: Writing handshake part 2 (17) to pipe MSBuild8284
 (TID 161) 638382313588570266 +         0ms: Writing handshake part 3 (7) to pipe MSBuild8284
 (TID 161) 638382313588582782 +    1.2516ms: Writing handshake part 4 (2) to pipe MSBuild8284
 (TID 161) 638382313588589350 +    0.6568ms: Writing handshake part 5 (37605) to pipe MSBuild8284
 (TID 161) 638382313588589350 +         0ms: Writing handshake part 6 (1) to pipe MSBuild8284
 (TID 161) 638382313588602386 +    1.3036ms: Reading handshake from pipe MSBuild8284
 (TID 161) 638382313588696057 +    9.3671ms: Successfully connected to pipe MSBuild8284...!
 (TID 161) 638382313588696057 +         0ms: Successfully connected to existed node 2 which is PID 8284
 (TID 156) 638382314943613779 +  135491.8ms: Starting to acquire 1 new or existing node(s) to establish nodes from ID 2 to 2...
 (TID 156) 638382314943613779 +         0ms: Building handshake for node type X64, NodeReuse, (version 1): options 16777228.
 (TID 156) 638382314943613779 +         0ms: Handshake salt is 
 (TID 156) 638382314943613779 +         0ms: Tools directory root is C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin
